iter	RMSE
122	0.1245523075
123	0.1245123956
124	0.1244682693
125	0.124390963
126	0.1243638694
127	0.1243011307
128	0.12424862
129	0.1241906141
130	0.1241344324
131	0.1241148106
132	0.1240833141
133	0.124018229
134	0.124000852
135	0.1239850463
136	0.1238880271
137	0.1238403241
138	0.1237851321
139	0.1237279695
140	0.123671553
141	0.1236395977
142	0.1235799405
143	0.1235160101
144	0.1234559812
145	0.1233895887
146	0.1233405939
147	0.1233008629
148	0.1232599178
149	0.1232041691
150	0.1231620827
151	0.1231016898
152	0.1230722793
153	0.1230322135
154	0.1230221437
155	0.1230168224
156	0.122999733
157	0.1229515421
158	0.1229465224
159	0.1229190045
160	0.1228553585
161	0.1228256957
162	0.1227870135
163	0.1227586976
164	0.1226961536
165	0.1226462575
166	0.1225781459
167	0.1225218086
168	0.1224862556
169	0.1224395314
170	0.1223699979
171	0.1222984967
172	0.1222216801
173	0.1221569352
174	0.1221170033
175	0.1220532642
176	0.122016974
177	0.1219687874
178	0.1219282305
179	0.1218526175
180	0.1218254148
181	0.1217555445
182	0.1217181347
183	0.1216691722
184	0.1215970985
185	0.1215601546
186	0.1214928251
187	0.1214129636
188	0.1213452986
189	0.1212829965
190	0.121254555
191	0.1212049411
192	0.1211786764
193	0.1211160517
194	0.1210835375
195	0.12107345
196	0.1210256051
197	0.1209552579
198	0.1209257448
199	0.1208872249
200	0.1208230306
201	0.1207916686
202	0.1207376434
203	0.120698805
204	0.1206566845
205	0.1206206363
206	0.1205635067
207	0.120551208
208	0.1204929312
209	0.1204845326
210	0.1204072284
211	0.1203680012
212	0.1202707999
213	0.1202009477
214	0.1201642148
215	0.1201387747
216	0.1200872164
217	0.1200431783
218	0.1199666659
219	0.1199340858
220	0.1199188391
221	0.1199048424
222	0.1198754628
223	0.1198582564
224	0.119822371
225	0.1197843531
226	0.1197614067
227	0.1197076944
228	0.1196457379
229	0.1196164342
230	0.1195333892
231	0.1193913077
232	0.1193254055
233	0.1192996575
234	0.1192388362
235	0.119186179
236	0.1191522583
237	0.1191207126
238	0.1190659852
239	0.1190235771
240	0.1189807351
241	0.1189523665
242	0.11893175
243	0.1188970254
244	0.1188630456
245	0.1187956709
246	0.1187722311
247	0.1187027277
248	0.1186760014
249	0.1186514117
250	0.1186419546
251	0.1186106216
252	0.1185550076
253	0.1185057991
254	0.118478138
255	0.1184484886
256	0.1184171006
257	0.1183693123
258	0.118348134
259	0.1182930853
260	0.1182142249
261	0.1181738209
262	0.1181521954
263	0.1181016525
264	0.1180885905
265	0.1180564607
266	0.1180081373
267	0.11797253
268	0.1179491167
269	0.1179223132
270	0.1179047875
271	0.1178839135
272	0.1178548179
273	0.1177992468
274	0.1177571675
275	0.1176955194
276	0.1176767928
277	0.1176553977
278	0.1176220168
279	0.1175544681
280	0.1174928584
281	0.1174652416
282	0.1174263077
283	0.1174108119
284	0.1173788629
285	0.117313027
286	0.117284647
287	0.117227955
288	0.1172000805
289	0.1171699469
290	0.1171111709
291	0.1170868199
292	0.1170463307
293	0.1170045281
294	0.1169811017
295	0.1169329738
296	0.1168792119
297	0.1168363441
298	0.1167976149
299	0.1167820938
300	0.1167324508
301	0.1166987921
302	0.1166705994
303	0.1166240763
304	0.1166042043
305	0.1165848589
306	0.1165596667
307	0.1164705892
308	0.1164499812
309	0.1164380851
310	0.1164085374
311	0.1163935686
312	0.1163373455
313	0.1163017907
314	0.1162781973
315	0.1162428879
316	0.1162236622
317	0.1161781764
318	0.1161330636
319	0.1161153692
320	0.1160781668
321	0.116036086
322	0.1159902784
323	0.1159217534
324	0.1158535622
325	0.1158335879
326	0.1158066857
327	0.1157581491
328	0.1156861412
329	0.1156285509
330	0.1155469409
331	0.1155280676
332	0.1154722595
333	0.1154419537
334	0.1154185245
335	0.115392294
336	0.1153636716
337	0.115345064
338	0.115327599
339	0.1152698766
340	0.115248099
341	0.1152140645
342	0.1151984894
343	0.1151474292
344	0.1151381526
345	0.1150864149
346	0.1150204722
347	0.1149430602
348	0.1149084982
349	0.11486497
350	0.114817495
351	0.114753962
352	0.1146938462
353	0.1146760386
354	0.1146475431
355	0.114619816
356	0.1146063037
357	0.1145903222
358	0.1145570787
359	0.1145373546
360	0.1144967557
361	0.1144512306
362	0.1144254829
363	0.1143953362
364	0.114358976
365	0.1143099196
366	0.1142718545
367	0.1142520459
368	0.1142306609
369	0.1142007889
370	0.1141916821
371	0.1141628117
372	0.1141399923
373	0.1140739336
374	0.1140475567
375	0.1140188755
376	0.1139956433
377	0.113945746
378	0.1139145896
379	0.1138913023
380	0.1138514159
381	0.1138090212
382	0.1137848934
383	0.113750555
384	0.1137108392
385	0.1136988953
386	0.1136828955
387	0.1136059173
388	0.1135447427
389	0.1135079408
390	0.113485461
391	0.1134563297
392	0.1134277603
393	0.1133792472
394	0.1133462492
395	0.1132996562
396	0.1132494728
397	0.1132255227
398	0.1132119475
399	0.1131675518
400	0.1131516413
401	0.113112308
402	0.1130893282
403	0.113049117
404	0.1130335272
405	0.1130019941
406	0.1129396473
407	0.1129172469
408	0.1129016426
409	0.1128780205
410	0.112849639
411	0.1128242408
412	0.1128139215
413	0.112792151
414	0.1127719721
415	0.112741972
416	0.1127127292
417	0.1126507429
418	0.112623455
419	0.1125970863
420	0.1125746204
421	0.1125265335
422	0.1125049589
423	0.1124664326
424	0.112427041
425	0.1124070851
426	0.1123943635
427	0.1123567824
428	0.1123114459
429	0.112296799
430	0.1122786805
431	0.1122404806
432	0.112220116
433	0.112201191
434	0.1121671606
435	0.1121326337
436	0.1121011411
437	0.1120778397
438	0.1120607456
439	0.1120339281
440	0.112006242
441	0.1119846383
442	0.1119611502
443	0.1119342866
444	0.1119045756
445	0.1118941952
446	0.1118260711
447	0.1117843041
448	0.1117334686
449	0.1117067644
450	0.1116770651
451	0.1116568146
452	0.1116231886
453	0.1115994224
454	0.1115451499
455	0.1115294998
456	0.1114647058
457	0.1114100546
458	0.1113681863
459	0.1113352023
460	0.1113173028
461	0.1112814788
462	0.1112407935
463	0.1112214864
464	0.1112071677
465	0.1111883651
466	0.1111517604
467	0.111132808
468	0.1111246477
469	0.1111131383
470	0.1110777997
471	0.111051909
472	0.111013626
473	0.1109954964
474	0.1109516053
475	0.1109147407
476	0.1108962387
477	0.1108798405
478	0.1108591076
479	0.1108270846
480	0.1107902308
481	0.1107642457
482	0.110736611
483	0.1107095915
484	0.1107019181
485	0.1106437372
486	0.1106233068
487	0.1105768069
488	0.1105356874
489	0.1104751334
490	0.1104300205
491	0.1103754284
492	0.1103409556
493	0.1103269226
494	0.110324158
495	0.110313745
496	0.1102978017
497	0.1102748353
498	0.1102240589
499	0.1101784185
500	0.1101399892
501	0.1100519221
502	0.1100225929
503	0.1099900327
504	0.1099592322
505	0.1099298099
506	0.1098948762
507	0.109852703
508	0.1098345015
509	0.1098148521
510	0.1097970191
511	0.1097430386
512	0.10969954
513	0.1096801031
514	0.1096666815
515	0.1096337305
516	0.1096063571
517	0.1095937163
518	0.1095734139
519	0.1095535579
520	0.1095007951
521	0.1094825485
522	0.1094560129
523	0.1094328288
524	0.1093940797
525	0.1093780941
526	0.1093495119
527	0.1092812482
528	0.1092668743
529	0.1091998881
530	0.1091894086
531	0.1091798098
532	0.1091418144
533	0.1091021873
534	0.1090795487
535	0.1090270356
536	0.1090132806
537	0.1089898783
538	0.1089801809
539	0.1089552004
540	0.1089340809
541	0.108927699
542	0.1089111997
543	0.1088794006
544	0.1088538603
545	0.1088274247
546	0.1088074227
547	0.1087852494
548	0.1087683137
549	0.1087432458
550	0.1087341388
551	0.108717352
552	0.1086856593
553	0.1086681431
554	0.1086256261
555	0.1085979789
556	0.1085852637
557	0.1085276334
558	0.1084995775
559	0.1084788146
560	0.1084433578
561	0.1084277918
562	0.1084178998
563	0.1084024334
564	0.1083623271
565	0.108350128
566	0.1083442957
567	0.1083310171
568	0.1083038107
569	0.1082644471
570	0.1082532891
571	0.1082279093
572	0.1082027927
573	0.1081783367
574	0.10816407
575	0.1081219675
576	0.1080827451
577	0.1080645649
578	0.1080422309
579	0.1080318782
580	0.1080213399
581	0.1079998517
582	0.1079757556
583	0.10793277
584	0.107920122
585	0.1078841109
586	0.1078614219
587	0.1078135625
588	0.1077946542
589	0.1077651197
590	0.1077322835
591	0.1076998186
592	0.1076843637
593	0.1076730481
594	0.1076517759
595	0.1076444223
596	0.1076113655
597	0.1075276772
598	0.1075041796
599	0.1074323185
600	0.1073989749
601	0.1073527761
602	0.107323674
603	0.1073046049
604	0.1072763797
605	0.1072432469
606	0.1072345044
607	0.1072137001
608	0.1071950351
609	0.1071659051
610	0.1071124816
611	0.1070878751
612	0.107056293
613	0.1070276499
614	0.1070108828
615	0.1069966216
616	0.1069756057
617	0.1069521878
618	0.106926889
619	0.1069168321
620	0.1068893792
621	0.1068760823
622	0.1068522157
623	0.1068328086
624	0.10679944
625	0.1067917029
626	0.1067707631
627	0.1067547579
628	0.1067173815
629	0.1066931234
630	0.1066623204
631	0.1066441731
632	0.1066223253
633	0.1066130355
634	0.1065950766
635	0.1065837499
636	0.1065767083
637	0.106560061
638	0.106538246
639	0.106520909
640	0.1064880994
641	0.1064797295
642	0.1064736992
643	0.1064423174
644	0.106424377
645	0.1063997093
646	0.106326494
647	0.1062938293
648	0.1062845508
649	0.1062427741
650	0.1062182056
651	0.1062008017
652	0.1061956715
653	0.1061820096
654	0.1061445555
655	0.1061301615
656	0.106120722
657	0.1060707516
658	0.1060658726
659	0.1060568731
660	0.1060047892
661	0.105999724
662	0.1059872728
663	0.1059613887
664	0.1059457109
665	0.1059208801
666	0.1059061429
667	0.1058881154
668	0.1058452018
669	0.1058232496
670	0.1057883153
671	0.1057661443
672	0.1057408634
673	0.1057173604
674	0.1057052195
675	0.105666059
676	0.105658252
677	0.1056234691
678	0.1055921946
679	0.1055489426
680	0.1055414349
681	0.1055244794
682	0.1055070493
683	0.1054751611
684	0.1054476188
685	0.1054389835
686	0.1054069657
687	0.1053845119
688	0.1053728071
689	0.1053486822
690	0.1053365239
691	0.1053275296
692	0.1052878155
693	0.1052641338
694	0.1052442965
695	0.1052327583
696	0.1052166023
697	0.105198312
698	0.1051571518
699	0.1051445684
700	0.1051231484
701	0.1051151133
702	0.1050958656
703	0.1050749414
704	0.1050580206
705	0.1050459419
706	0.1050174165
707	0.1049816576
708	0.1049495247
709	0.1049275826
710	0.1048992545
711	0.1048722375
712	0.1048434861
713	0.1048293965
714	0.1047988767
715	0.1047817443
716	0.1047393983
717	0.1047254108
718	0.1046978923
719	0.1046871752
720	0.1046741441
721	0.1046648952
722	0.1046551285
723	0.1046076147
724	0.1045906034
725	0.1045619507
726	0.1045372458
727	0.1045092848
728	0.1044734336
729	0.1044591897
730	0.1044393031
731	0.1044242109
732	0.104416761
733	0.1043939878
734	0.1043757328
735	0.1043409919
736	0.104332372
737	0.1043164106
738	0.104308256
739	0.1042391576
740	0.1042199592
741	0.104194551
742	0.1041487636
743	0.1041357412
744	0.1041136775
745	0.1041018085
746	0.104080993
747	0.1040341151
748	0.1040141714
749	0.1040028208
750	0.1039918664
751	0.1039545263
752	0.1039332871
753	0.103916096
754	0.1039079279
755	0.1038931119
756	0.1038675095
757	0.1038578426
758	0.1038366865
759	0.1038129859
760	0.1037856587
761	0.1037564081
762	0.1037381132
763	0.1037168218
764	0.10368763
765	0.1036701392
766	0.1036441059
767	0.1036285356
768	0.1036113642
769	0.1035849309
770	0.1035684635
771	0.1035335592
772	0.103522124
773	0.1035138185
774	0.1034968437
775	0.103481124
776	0.1034476854
777	0.1034272188
778	0.1034040177
779	0.1033900409
780	0.1033717481
781	0.1033295847
782	0.1033036125
783	0.1032810689
784	0.1032617157
785	0.1032314036
786	0.1032122289
787	0.1031721031
788	0.1031548256
789	0.1031337707
790	0.1031140001
791	0.1030820679
792	0.1030382551
793	0.1030075698
794	0.1029892225
795	0.1029690244
796	0.102958126
797	0.102942027
798	0.1029258481
799	0.1029179267
800	0.1028974527
801	0.1028705842
802	0.1028432583
803	0.1028225793
804	0.1027881712
805	0.102762448
806	0.1027496463
807	0.1027228446
808	0.1027152447
809	0.1026878882
810	0.1026673853
811	0.102660481
812	0.102641674
813	0.102637288
814	0.1026219667
815	0.1026102245
816	0.1025966377
817	0.1025768056
818	0.1025331173
819	0.1025140924
820	0.1025032389
821	0.1024934415
822	0.1024553431
823	0.1024440398
824	0.1024172477
825	0.1023979074
826	0.102374081
827	0.1023496899
828	0.1023267428
829	0.1023104732
830	0.1022870532
831	0.1022693773
832	0.1022518687
833	0.1022293865
834	0.1022018661
835	0.1021469171
836	0.1021142338
837	0.1020494157
838	0.1020168407
839	0.1020104748
840	0.1020008509
841	0.1019707384
842	0.1019481921
843	0.1019338092
844	0.1019213854
845	0.1019151157
846	0.1018864629
847	0.1018567033
848	0.1018277434
849	0.1018149823
850	0.1018069181
851	0.101789864
852	0.1017779059
853	0.1017739812
854	0.1017476866
855	0.1017410888
856	0.1017235984
857	0.1017015166
858	0.1016789951
859	0.1016612024
860	0.1016171436
861	0.1015889104
862	0.1015553866
863	0.1015465618
864	0.1015176104
865	0.1014835052
866	0.1014683117
867	0.101455343
868	0.1014408053
869	0.1014322222
870	0.1014262232
871	0.1014086285
872	0.1013932021
873	0.1013790899
874	0.1013685056
875	0.1013563534
876	0.1013409296
877	0.1013295101
878	0.1013017517
879	0.101292525
880	0.1012833431
881	0.1012689904
882	0.1012525901
883	0.1012467018
884	0.1012349113
885	0.1012333587
886	0.1012076312
887	0.1011881873
888	0.1011670628
889	0.1011368977
890	0.1011198651
891	0.1011035588
892	0.1010828181
893	0.101044755
894	0.1010178244
895	0.1009962926
896	0.1009881966
897	0.1009808555
898	0.1009682892
899	0.1009616994
900	0.1009270173
901	0.1008924647
902	0.1008599909
903	0.1008323732
904	0.100813199
905	0.1007791474
906	0.1007305046
907	0.1007144578
908	0.1007033564
909	0.1006835565
910	0.1006760763
911	0.1006684688
912	0.1006624546
913	0.1006522178
914	0.1006324932
915	0.1005924498
916	0.1005733639
917	0.1005632643
918	0.1005408508
919	0.1005118842
920	0.1004827813
921	0.1004637223
922	0.1004573243
923	0.100427856
924	0.1004029742
925	0.1003896592
926	0.1003783102
927	0.1003727969
928	0.1003666198
929	0.1003612048
930	0.1003517766
931	0.1003366888
932	0.1003219395
933	0.1003186846
934	0.1002627902
935	0.1002569866
936	0.1002423929
937	0.1002253071
938	0.100195378
939	0.1001841469
940	0.1001785246
941	0.1001666464
942	0.1001387284
943	0.1001263616
944	0.1001176781
945	0.1001029777
946	0.1000829059
947	0.1000590401
948	0.1000364913
949	0.1000104593
950	0.099992468
951	0.09997594804
952	0.09995690949
953	0.09994059451
954	0.09993004348
955	0.0999112956
956	0.09989356152
957	0.0998712207
958	0.09984094263
959	0.09978736408
960	0.09977051547
961	0.09975906775
962	0.09973594436
963	0.09972101357
964	0.09971857663
965	0.09969164831
966	0.09967084689
967	0.09965938673
968	0.09963776038
969	0.09962244051
970	0.09960671663
971	0.09959361541
972	0.09956573661
973	0.0995601601
974	0.09952068965
975	0.09950360442
976	0.09948253584
977	0.09947393654
978	0.09946636954
979	0.09944188637
980	0.09943074286
981	0.09939017278
982	0.09938251592
983	0.09935318898
984	0.09933297861
985	0.0993106573
986	0.09928698425
987	0.09927132585
988	0.09925241471
989	0.0992502357
990	0.09922973589
991	0.09921531933
992	0.09920621384
993	0.09919780077
994	0.09916883409
995	0.09912723033
996	0.09910875474
997	0.0990841503
998	0.09906479221
999	0.09903710267
