iter	Passed	Remaining
202	8001	31416
203	8053	31423
204	8112	31461
205	8159	31448
206	8198	31406
207	8251	31417
208	8289	31373
209	8329	31334
210	8367	31288
211	8405	31244
212	8445	31202
213	8478	31140
214	8512	31079
215	8546	31019
216	8580	30959
217	8613	30897
218	8650	30848
219	8685	30793
220	8718	30730
221	8752	30674
222	8808	30691
223	8843	30635
224	8877	30576
225	8916	30538
226	8961	30515
227	8996	30461
228	9031	30407
229	9068	30358
230	9102	30300
231	9133	30235
232	9168	30181
233	9200	30119
234	9233	30059
235	9270	30011
236	9306	29962
237	9341	29907
238	9376	29854
239	9410	29799
240	9444	29743
241	9479	29691
242	9513	29635
243	9547	29582
244	9581	29527
245	9618	29479
246	9653	29430
247	9686	29370
248	9718	29312
249	9753	29259
250	9785	29200
251	9817	29141
252	9852	29089
253	9885	29033
254	9918	28977
255	9954	28929
256	9989	28879
257	10023	28826
258	10059	28781
259	10092	28725
260	10125	28669
261	10159	28617
262	10192	28562
263	10225	28506
264	10257	28451
265	10291	28398
266	10326	28350
267	10359	28294
268	10391	28237
269	10424	28185
270	10458	28134
271	10493	28085
272	10527	28034
273	10572	28012
274	10620	27999
275	10672	27995
276	10738	28029
277	10772	27977
278	10808	27932
279	10839	27874
280	10873	27823
281	10910	27779
282	10944	27728
283	11005	27746
284	11041	27700
285	11088	27682
286	11124	27637
287	11161	27593
288	11195	27543
289	11230	27494
290	11267	27451
291	11308	27418
292	11349	27385
293	11398	27370
294	11434	27325
295	11473	27287
296	11512	27251
297	11555	27221
298	11594	27183
299	11632	27142
300	11669	27098
301	11705	27055
302	11742	27011
303	11783	26978
304	11803	26897
305	11840	26853
306	11880	26817
307	11919	26780
308	11969	26767
309	12009	26730
310	12054	26705
311	12092	26665
312	12132	26628
313	12170	26589
314	12208	26547
315	12245	26506
316	12301	26504
317	12352	26492
318	12391	26454
319	12411	26374
320	12450	26335
321	12497	26314
322	12537	26279
323	12573	26234
324	12611	26192
325	12653	26161
326	12697	26133
327	12752	26127
328	12809	26124
329	12852	26094
330	12891	26055
331	12952	26061
332	12992	26024
333	13036	25995
334	13079	25964
335	13119	25926
336	13211	25991
337	13245	25941
338	13288	25910
339	13331	25879
340	13369	25837
341	13410	25800
342	13448	25760
343	13487	25720
344	13525	25679
345	13567	25644
346	13610	25612
347	13664	25601
348	13711	25576
349	13756	25547
350	13797	25512
351	13835	25470
352	13873	25427
353	13911	25385
354	13952	25350
355	13993	25313
356	14033	25276
357	14071	25235
358	14117	25206
359	14153	25161
360	14186	25111
361	14220	25062
362	14257	25018
363	14291	24971
364	14327	24925
365	14359	24874
366	14394	24826
367	14428	24779
368	14461	24729
369	14496	24682
370	14530	24635
371	14565	24588
372	14600	24542
373	14638	24501
374	14670	24451
375	14706	24405
376	14739	24357
377	14773	24309
378	14807	24262
379	14843	24217
380	14877	24171
381	14912	24125
382	14946	24078
383	14991	24049
384	15028	24005
385	15064	23962
386	15096	23912
387	15129	23863
388	15163	23816
389	15204	23780
390	15236	23731
391	15272	23687
392	15308	23644
393	15356	23618
394	15400	23588
395	15433	23540
396	15467	23494
397	15513	23464
398	15546	23417
399	15583	23374
400	15617	23328
401	15652	23284
402	15686	23237
403	15719	23190
404	15754	23145
405	15790	23101
406	15827	23061
407	15874	23034
408	15915	22997
409	15954	22958
410	15989	22914
411	16030	22877
412	16067	22836
413	16109	22802
414	16145	22758
415	16182	22717
416	16220	22677
417	16257	22635
418	16292	22592
419	16326	22546
420	16360	22500
421	16397	22459
422	16433	22416
423	16468	22372
424	16503	22328
425	16539	22285
426	16578	22247
427	16612	22201
428	16648	22159
429	16687	22120
430	16722	22076
431	16762	22039
432	16839	22050
433	16909	22052
434	16965	22035
435	17002	21994
436	17034	21946
437	17073	21907
438	17107	21861
439	17142	21817
440	17177	21773
441	17211	21728
442	17245	21683
443	17282	21642
444	17316	21596
445	17350	21551
446	17384	21506
447	17418	21462
448	17452	21417
449	17494	21381
450	17531	21340
451	17577	21310
452	17611	21266
453	17645	21220
454	17680	21177
455	17716	21134
456	17752	21093
457	17790	21052
458	17826	21011
459	17860	20966
460	17894	20922
461	17929	20878
462	17964	20835
463	17998	20791
464	18031	20745
465	18065	20702
466	18100	20658
467	18136	20616
468	18167	20568
469	18199	20522
470	18234	20480
471	18270	20437
472	18320	20412
473	18359	20373
474	18407	20344
475	18446	20306
476	18481	20263
477	18517	20222
478	18551	20178
479	18584	20133
480	18619	20090
481	18654	20047
482	18688	20004
483	18725	19963
484	18760	19920
485	18793	19876
486	18828	19833
487	18882	19810
488	18920	19772
489	18958	19732
490	18997	19693
491	19036	19655
492	19073	19614
493	19107	19571
494	19142	19529
495	19175	19484
496	19207	19439
497	19241	19395
498	19277	19354
499	19314	19314
500	19351	19274
501	19393	19239
502	19431	19199
503	19466	19157
504	19503	19117
505	19543	19079
506	19582	19041
507	19629	19011
508	19668	18973
509	19702	18930
510	19757	18906
511	19794	18866
512	19830	18825
513	19867	18785
514	19908	18748
515	19971	18732
516	20040	18722
517	20140	18741
518	20182	18705
519	20215	18660
520	20250	18618
521	20283	18574
522	20315	18529
523	20351	18486
524	20391	18449
525	20429	18409
526	20463	18366
527	20498	18324
528	20532	18280
529	20566	18238
530	20601	18196
531	20639	18156
532	20673	18113
533	20711	18073
534	20747	18032
535	20783	17991
536	20818	17949
537	20850	17905
538	20882	17860
539	20917	17818
540	20955	17779
541	20990	17737
542	21028	17697
543	21065	17657
544	21098	17613
545	21133	17572
546	21169	17531
547	21204	17489
548	21241	17449
549	21277	17408
550	21311	17366
551	21345	17324
552	21379	17281
553	21412	17237
554	21447	17196
555	21480	17153
556	21529	17122
557	21563	17080
558	21596	17037
559	21631	16996
560	21667	16955
561	21699	16911
562	21736	16871
563	21771	16830
564	21803	16787
565	21837	16744
566	21871	16702
567	21919	16671
568	21961	16635
569	21999	16596
570	22034	16554
571	22068	16513
572	22105	16473
573	22140	16431
574	22172	16388
575	22206	16346
576	22254	16314
577	22290	16274
578	22323	16231
579	22354	16188
580	22388	16146
581	22423	16104
582	22459	16064
583	22494	16023
584	22527	15980
585	22560	15938
586	22595	15897
587	22631	15857
588	22664	15815
589	22699	15774
590	22736	15734
591	22772	15694
592	22808	15654
593	22842	15613
594	22891	15581
595	22925	15539
596	22961	15500
597	23011	15469
598	23045	15427
599	23081	15387
600	23115	15346
601	23149	15304
602	23183	15263
603	23218	15222
604	23253	15182
605	23292	15143
606	23327	15103
607	23363	15063
608	23406	15027
609	23441	14987
610	23478	14947
611	23511	14906
612	23546	14865
613	23581	14825
614	23615	14783
615	23648	14741
616	23682	14700
617	23717	14660
618	23753	14620
619	23785	14578
620	23819	14537
621	23852	14495
622	23887	14455
623	23923	14415
624	23957	14374
625	23994	14335
626	24027	14293
627	24060	14252
628	24094	14211
629	24149	14183
630	24190	14146
631	24227	14107
632	24263	14067
633	24297	14026
634	24330	13985
635	24366	13945
636	24402	13905
637	24435	13864
638	24470	13824
639	24504	13783
640	24541	13744
641	24574	13703
642	24608	13662
643	24641	13621
644	24678	13582
645	24711	13541
646	24747	13502
647	24785	13463
648	24817	13422
649	24852	13382
650	24888	13342
651	24923	13302
652	24958	13262
653	24993	13222
654	25024	13180
655	25058	13140
656	25095	13101
657	25130	13061
658	25163	13020
659	25199	12981
660	25234	12941
661	25271	12903
662	25325	12872
663	25363	12834
664	25414	12803
665	25455	12766
666	25492	12727
667	25531	12689
668	25571	12651
669	25609	12613
670	25646	12575
671	25684	12536
672	25718	12496
673	25752	12456
674	25786	12415
675	25821	12375
676	25856	12336
677	25892	12296
678	25925	12256
679	25967	12220
680	26004	12181
681	26040	12142
682	26077	12103
683	26114	12064
684	26150	12025
685	26184	11985
686	26222	11947
687	26261	11909
688	26307	11874
689	26364	11844
690	26398	11804
691	26432	11764
692	26469	11726
693	26504	11686
694	26537	11646
695	26576	11608
696	26615	11570
697	26664	11536
698	26704	11499
699	26743	11461
700	26782	11423
701	26835	11391
702	26874	11353
703	26913	11316
704	26948	11276
705	26992	11240
706	27032	11203
707	27071	11165
708	27108	11126
709	27143	11086
710	27177	11046
711	27214	11007
712	27247	10967
713	27283	10928
714	27325	10891
715	27377	10859
716	27416	10821
717	27450	10781
718	27488	10743
719	27527	10705
720	27564	10666
721	27600	10627
722	27634	10587
723	27668	10547
724	27703	10508
725	27738	10468
726	27775	10430
727	27811	10391
728	27846	10351
729	27881	10312
730	27921	10274
731	27957	10235
732	27991	10196
733	28029	10157
734	28063	10118
735	28098	10078
736	28131	10038
737	28166	9999
738	28225	9968
739	28275	9934
740	28311	9895
741	28346	9856
742	28383	9817
743	28422	9779
744	28458	9740
745	28498	9703
746	28571	9676
747	28610	9638
748	28679	9610
749	28717	9572
750	28767	9538
751	28829	9507
752	28890	9476
753	28934	9440
754	28974	9402
755	29019	9365
756	29058	9327
757	29108	9293
758	29157	9258
759	29205	9222
760	29254	9187
761	29325	9159
762	29397	9131
763	29464	9101
764	29533	9072
765	29593	9040
766	29643	9005
767	29693	8969
768	29738	8933
769	29787	8897
770	29853	8866
771	29929	8839
772	30013	8813
773	30085	8784
774	30131	8747
775	30178	8711
776	30217	8672
777	30255	8633
778	30294	8594
779	30332	8555
780	30371	8516
781	30425	8481
782	30468	8444
783	30511	8406
784	30560	8370
785	30609	8334
786	30661	8298
787	30724	8265
788	30791	8234
789	30837	8197
790	30897	8163
791	30952	8128
792	31031	8100
793	31075	8062
794	31110	8022
795	31146	7982
796	31184	7942
797	31226	7904
798	31264	7865
799	31297	7824
800	31334	7784
801	31369	7744
802	31407	7705
803	31446	7666
804	31496	7629
805	31536	7590
806	31574	7551
807	31621	7514
808	31661	7475
809	31698	7435
810	31751	7399
811	31789	7360
812	31825	7320
813	31869	7282
814	31914	7244
815	31965	7207
816	32021	7172
817	32083	7138
818	32126	7099
819	32173	7062
820	32315	7045
821	32394	7014
822	32489	6987
823	32557	6953
824	32653	6926
825	32741	6897
826	32788	6859
827	32836	6821
828	32893	6785
829	32985	6756
830	33031	6717
831	33089	6681
832	33134	6642
833	33205	6609
834	33271	6574
835	33325	6537
836	33375	6499
837	33429	6462
838	33484	6425
839	33544	6389
840	33595	6351
841	33644	6313
842	33693	6275
843	33741	6236
844	33795	6199
845	33848	6161
846	33898	6123
847	33951	6085
848	33997	6046
849	34047	6008
850	34097	5970
851	34150	5932
852	34198	5893
853	34249	5855
854	34302	5817
855	34360	5780
856	34407	5741
857	34457	5702
858	34515	5665
859	34565	5626
860	34623	5589
861	34674	5551
862	34749	5516
863	34803	5478
864	34871	5442
865	34918	5403
866	34973	5364
867	35051	5330
868	35096	5290
869	35171	5255
870	35221	5216
871	35269	5177
872	35316	5137
873	35361	5097
874	35425	5060
875	35467	5020
876	35504	4979
877	35540	4938
878	35577	4897
879	35612	4856
880	35648	4815
881	35685	4774
882	35747	4736
883	35798	4697
884	35875	4661
885	35930	4623
886	35979	4583
887	36046	4546
888	36110	4508
889	36204	4474
890	36271	4437
891	36335	4399
892	36386	4359
893	36449	4321
894	36520	4284
895	36580	4245
896	36642	4207
897	36700	4168
898	36763	4130
899	36838	4093
900	36885	4052
901	36931	4012
902	36973	3971
903	37016	3930
904	37060	3890
905	37107	3850
906	37175	3811
907	37216	3770
908	37264	3730
909	37335	3692
910	37424	3656
911	37461	3614
912	37503	3573
913	37543	3532
914	37582	3491
915	37627	3450
916	37686	3411
917	37749	3371
918	37824	3333
919	37878	3293
920	37926	3253
921	37977	3212
922	38042	3173
923	38095	3133
924	38164	3094
925	38211	3053
926	38254	3012
927	38294	2971
928	38336	2929
929	38390	2889
930	38454	2850
931	38501	2809
932	38554	2768
933	38616	2728
934	38667	2688
935	38706	2646
936	38760	2606
937	38805	2564
938	38847	2523
939	38897	2482
940	38941	2441
941	39003	2401
942	39044	2360
943	39084	2318
944	39124	2277
945	39171	2235
946	39221	2195
947	39260	2153
948	39305	2112
949	39351	2071
950	39390	2029
951	39430	1988
952	39468	1946
953	39510	1905
954	39567	1864
955	39642	1824
956	39691	1783
957	39737	1742
958	39780	1700
959	39831	1659
960	39879	1618
961	39928	1577
962	39990	1536
963	40073	1496
964	40119	1455
965	40164	1413
966	40207	1372
967	40253	1330
968	40295	1289
969	40338	1247
970	40378	1205
971	40425	1164
972	40493	1123
973	40539	1082
974	40591	1040
975	40648	999
976	40692	957
977	40755	916
978	40799	875
979	40845	833
980	40885	791
981	40936	750
982	40981	708
983	41027	667
984	41069	625
985	41113	583
986	41171	542
987	41213	500
988	41258	458
989	41299	417
990	41340	375
991	41381	333
992	41425	292
993	41473	250
994	41518	208
995	41562	166
996	41607	125
997	41649	83
998	41694	41
999	41749	0
